Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2013-10-08,133.68850708007812,135.41737661682518,133.5915650418386,135.2396413285066,178015000
2013-10-09,133.78546142578125,134.27018394422615,132.9210204938764,133.94703559859622,168973000
2013-10-10,136.66961669921875,136.74232323783065,135.10232112120644,135.1507921469477,195955000
2013-10-11,137.55020141601562,137.5986847672718,136.34646323054335,136.45956639550022,105040000
2013-10-14,138.09959411621094,138.2126973021875,136.59693045833774,136.70195924793126,112106000
2013-10-15,137.09780883789062,138.2692372881001,136.91199910981325,137.75219241151623,155485000
2013-10-16,139.0124969482422,139.0852034927523,137.85721732263113,137.92184947130295,161676000
2013-10-17,139.94149780273438,140.0222910357142,138.42267377939294,138.44690928382357,129389000
2013-10-18,140.88674926757812,140.98369130581253,140.1758081143413,140.4585721622839,138316000
2013-10-21,140.894775390625,141.17753934169173,140.57970154698936,140.9351720018224,104104000
2013-10-22,141.71072387695312,142.13081405423543,140.91898986303997,141.30678247988797,126663000
2013-10-23,141.03216552734375,141.29068172168235,140.5393563193387,141.2260495912681,105484000
2013-10-24,141.50071716308594,141.6784524276652,140.98367248266928,141.31490750550492,70350000
2013-10-25,142.1470184326172,142.18741505008342,141.51687064755785,141.79154792262128,93625000
2013-10-28,142.37326049804688,142.56715691425083,141.9450833653348,142.0985831539146,84979000
2013-10-29,143.1326446533203,143.18920238636818,142.49442244035436,142.69639321155236,87401000
2013-10-30,142.4217071533203,143.40732552758422,141.91274917975758,143.30230910651267,140002000
2013-10-31,142.0177459716797,142.906422195258,141.80770083125034,142.30858434236748,133795000
2013-11-01,142.35707092285156,142.68021919662127,141.55726230339434,142.2035711782502,142805000
2013-11-04,142.85797119140625,142.9145165986519,142.17126562000345,142.7448680495971,85677000
2013-11-05,142.4055938720703,142.79337440749597,141.8400780230494,142.30056509749465,85825000
2013-11-06,143.1326446533203,143.3992475505798,142.62367436515973,143.01954151454214,87348000
2013-11-07,141.32296752929688,143.51233588728832,141.18562889832563,143.39923276017575,157000000
2013-11-08,143.2296142578125,143.2457753742691,141.25838950630475,141.2745382954414,136713000
2013-11-11,143.25379943847656,143.42344794144867,142.9225644962545,143.09221299922658,62614000
2013-11-12,142.9629364013672,143.28608456939645,142.48627621165227,142.94677529477198,83990000
2013-11-13,144.11019897460938,144.1505832698994,142.26013967407818,142.26013967407818,103844000
2013-11-14,144.82920837402344,144.95038590942278,144.00516415135402,144.23944482889874,103435000
2013-11-15,145.45933532714844,145.51588072644316,144.87765858611496,145.06346822282072,102818000
2013-11-18,144.9503936767578,145.8229089603417,144.62724534683133,145.7017314184489,104796000
2013-11-19,144.63528442382812,145.3139031473615,144.38484268018954,144.87765177575164,93891000
2013-11-20,144.1829376220703,145.36244037018741,143.78707035601937,144.92618879984906,124909000
2013-11-21,145.34625244140625,145.45935558306203,144.49797271532907,144.58684035000988,92841000
2013-11-22,146.07337951660156,146.08954063447445,145.23318629702715,145.4028348890688,81296000
2013-11-25,145.92794799804688,146.3641995069211,145.71789047420566,146.33188960257908,79486000
2013-11-26,145.9683380126953,146.4046018659729,145.75021841337647,146.0006602456225,86994000
2013-11-27,146.3237762451172,146.4207305951332,145.94407021979072,146.12180547961663,58800000
2013-11-29,146.226806640625,146.83271882283753,146.06523252416463,146.4853350888135,55870900
